food_name,category,typical_serving,calories,protein_g,carbs_g,fat_g,fiber_g
idli,breakfast,2 pieces (100g),150,4.0,32,0.5,1.5
masala dosa,breakfast,1 piece (220g),300,6.5,46,10,4.0
medu vada,breakfast,2 pieces (80g),220,6.0,20,12,2.5
muesli milk,breakfast,1 bowl,290,10,45,7.0,4.0
mysore dosa,breakfast,1 piece (150g),240,5.5,36,8.5,2.5
oatmeal milk,breakfast,1 bowl (200g),220,9.0,32,6.0,5.0
oats,breakfast,1 bowl (40g dry),160,6.0,28,3.0,4.5
pancake,breakfast,2 pieces (150g),350,8.0,44,16,1.5
paneer dosa,breakfast,1 piece (200g),340,12,40,14,2.5
paper dosa,breakfast,1 piece (80g),140,3.5,24,3.5,1.0
paratha curd,breakfast,1+bowl,280,8.0,30,12,2.5
pesarattu,breakfast,1 piece (100g),180,9.0,26,4.5,4.5
poha,breakfast,1 plate (200g),270,6.0,45,7.0,3.5
pongal khara,breakfast,1 katori (150g),250,7.0,40,7.0,2.5
pongal sweet,breakfast,1 katori (150g),290,6.0,46,9.0,2.0
puttu,breakfast,1 piece (100g),180,3.5,38,1.5,2.0
rava dosa,breakfast,1 piece (120g),220,4.5,32,8.0,1.5
sabudana khichdi,breakfast,1 plate (200g),320,4.0,50,12,2.0
set dosa,breakfast,2 pieces (120g),180,4.5,30,5.5,1.5
upma,breakfast,1 plate (200g),240,7.0,40,6.5,3.0
uttapam,breakfast,1 piece (150g),240,6.0,38,6.5,2.5
vada sambar,breakfast,2 vada + bowl,330,10,40,14,4.5
waffle,breakfast,1 piece (75g),220,5.0,25,11,1.0
butter,dairy,1 tbsp (15g),110,0.1,0.0,12,0
buttermilk,dairy,1 glass (250ml),60,4.0,6.0,2.0,0
cheese slice,dairy,1 slice (20g),70,4.0,0.5,5.5,0
curd,dairy,1 katori (150g),100,5.5,6.5,5.5,0
dahi low fat,dairy,1 katori (150g),70,6.0,7.0,1.5,0
ghee,dairy,1 tsp (5g),45,0,0,5.0,0
greek yogurt,dairy,1 katori (170g),100,17,6.0,0.7,0
lassi salted,dairy,1 glass (300ml),110,6.0,9.0,5.5,0
lassi sweet,dairy,1 glass (300ml),220,6.0,30,8.0,0
milk full fat,dairy,1 glass (250ml),160,8.0,12,8.5,0
milk skimmed,dairy,1 glass (250ml),85,8.5,13,0.5,0
milk toned,dairy,1 glass (250ml),120,8.0,12,4.0,0
paneer,dairy,100g,290,18,3.5,22,0
paneer raw,dairy,50g,145,9.0,1.5,11,0
chole,dal,1 katori (150g),230,10,30,8.0,8.5
dal chana,dal,1 katori (150g),180,10,24,4.5,7.5
dal fry,dal,1 katori (150g),165,9.0,20,5.5,6.0
dal makhani,dal,1 katori (150g),280,10,22,16,7.0
dal masoor,dal,1 katori (150g),150,10,20,3.0,6.0
dal moong,dal,1 katori (150g),140,10,18,2.5,5.5
dal tadka,dal,1 katori (150g),150,9.0,20,4.0,6.0
dal urad,dal,1 katori (150g),170,11,22,4.0,6.5
kala chana,dal,1 katori (150g),210,11,30,5.5,9.0
rajma,dal,1 katori (150g),200,11,30,4.0,8.0
rasam,dal,1 katori (200g),70,3.0,10,2.0,1.5
sambar,dal,1 katori (200g),140,6.0,20,4.0,5.0
aam panna,drink,1 glass (250ml),120,0.5,30,0.2,0.5
beer,drink,1 bottle (650ml),290,3.0,22,0,0
coconut water,drink,1 glass (250ml),45,1.5,9.0,0.5,0.5
coffee milk,drink,1 cup (150ml),80,3.0,10,3.0,0
coke,drink,1 can (330ml),140,0,36,0,0
cold coffee,drink,1 glass (300ml),220,6.0,32,8.0,0
fanta,drink,1 can (330ml),150,0,37,0,0
filter coffee,drink,1 cup (150ml),90,3.5,11,3.5,0
green tea,drink,1 cup (200ml),3,0,0.5,0,0
hot chocolate,drink,1 cup (250ml),230,8.0,30,9.0,1.5
juice apple,drink,1 glass (250ml),115,0.5,28,0.3,0.5
juice mango,drink,1 glass (250ml),140,0.8,34,0.4,0.8
juice orange,drink,1 glass (250ml),110,1.5,26,0.3,0.5
juice pineapple,drink,1 glass (250ml),130,1.0,32,0.3,0.8
lassi mango,drink,1 glass (300ml),260,6.0,40,8.0,1.0
lemon tea,drink,1 cup (200ml),30,0,7.0,0,0
masala chai,drink,1 cup (150ml),80,3.0,10,3.0,0
milkshake banana,drink,1 glass (300ml),320,10,48,9.0,2.5
milkshake chocolate,drink,1 glass (300ml),380,11,58,10,1.5
milkshake mango,drink,1 glass (300ml),340,9.0,56,8.0,1.5
nimbu pani salted,drink,1 glass (250ml),30,0.3,7.0,0.1,0
nimbu pani sweet,drink,1 glass (250ml),90,0.3,22,0.1,0
pepsi,drink,1 can (330ml),140,0,36,0,0
protein shake,drink,1 scoop+milk,280,30,18,8.0,0.5
redbull,drink,1 can (250ml),115,0,27,0,0
smoothie banana,drink,1 glass (300ml),240,8.0,42,4.5,3.0
smoothie protein,drink,1 glass (300ml),320,32,30,8.0,3.5
sprite,drink,1 can (330ml),140,0,34,0,0
tea black,drink,1 cup (150ml),25,0,6.0,0,0
tea milk,drink,1 cup (150ml),60,2.0,8.0,2.0,0
whisky,drink,30ml peg,65,0,0,0,0
wine,drink,1 glass (150ml),125,0.1,4.0,0,0
apple,fruit,1 medium (180g),95,0.5,25,0.3,4.5
avocado,fruit,1/2 medium (75g),120,1.5,6.0,11,5.0
banana,fruit,1 medium (120g),105,1.3,27,0.4,3.0
blueberry,fruit,1 cup (150g),85,1.0,21,0.5,3.5
custard apple,fruit,1 medium (150g),145,3.0,35,1.0,7.0
grapes,fruit,1 cup (150g),105,1.0,27,0.3,1.5
guava,fruit,1 medium (120g),70,2.5,15,1.0,5.5
guava with masala,fruit,1 plate (200g),130,4.0,28,1.5,9.0
jackfruit,fruit,1 cup (150g),155,3.0,40,1.0,2.5
kiwi,fruit,1 medium (75g),45,0.9,11,0.4,2.0
lychee,fruit,10 pieces (100g),65,0.8,17,0.4,1.3
mango,fruit,1 medium (200g),200,2.8,50,1.3,5.5
muskmelon,fruit,1 cup (160g),55,1.4,13,0.3,1.5
orange,fruit,1 medium (130g),60,1.2,15,0.2,3.0
papaya,fruit,1 cup (150g),60,1.0,15,0.4,2.5
pear,fruit,1 medium (180g),100,0.7,27,0.3,5.5
pineapple,fruit,1 cup (165g),80,0.9,22,0.2,2.3
pomegranate,fruit,1 cup (175g),145,3.0,33,2.0,7.0
strawberry,fruit,1 cup (150g),50,1.0,12,0.5,3.0
watermelon,fruit,1 cup (150g),45,1.0,11,0.2,0.6
boiled egg,nonveg,1 egg (50g),75,6.5,0.5,5.0,0.0
butter chicken,nonveg,1 katori (150g),380,24,10,28,2.0
chicken 65,nonveg,1 plate (200g),410,30,18,24,2.0
chicken biryani,nonveg,1 plate (300g),580,28,55,25,3.5
chicken breast boiled,nonveg,100g,150,30,0,3.0,0
chicken breast grilled,nonveg,100g,165,31,0,3.6,0
chicken curry,nonveg,1 katori (150g),280,25,8.0,17,1.5
chicken tikka,nonveg,1 plate (150g),290,32,6.0,16,1.0
chingri malai curry,nonveg,1 katori (150g),320,22,10,22,1.0
egg bhurji,nonveg,1 plate (100g),200,13,4.0,15,0.8
egg curry,nonveg,1 katori (150g),220,14,8.0,15,1.5
egg white,nonveg,3 whites (100g),50,11,0.7,0.2,0
fish curry,nonveg,1 katori (150g),240,24,8.0,12,1.5
fish fry,nonveg,1 plate (150g),290,28,10,16,0.8
fish grilled,nonveg,100g,140,22,0,6.0,0
kfc chicken,nonveg,2 pieces (180g),470,32,16,30,1.0
kosha mangsho,nonveg,1 katori (150g),420,28,8.0,30,1.5
mutton biryani,nonveg,1 plate (300g),650,30,55,32,3.5
mutton curry,nonveg,1 katori (150g),380,26,8.0,27,1.5
omelette,nonveg,2 eggs (100g),180,12,2.0,14,0.3
salmon grilled,nonveg,100g,210,22,0,13,0
shorshe ilish,nonveg,1 piece (100g),280,20,3.0,22,0.5
steak grilled,nonveg,150g,350,42,0,20,0
tandoori chicken,nonveg,1 plate (200g),330,40,4.0,17,0.5
tuna canned,nonveg,100g,115,26,0,1.0,0
almond butter,nuts,1 tbsp (16g),100,3.5,3.0,9.0,1.5
almonds,nuts,10 pieces (12g),70,2.5,2.5,6.0,1.5
cashews,nuts,10 pieces (15g),85,2.5,4.5,7.0,0.5
dates,nuts,3 pieces (24g),70,0.5,18,0.1,1.8
peanut butter,nuts,1 tbsp (16g),95,3.5,3.5,8.0,1.0
peanuts,nuts,30g,170,7.5,5.0,14,2.5
walnuts,nuts,4 halves (15g),100,2.5,2.0,10,1.0
biryani chicken,rice,1 plate (300g),580,28,55,25,3.5
biryani mutton,rice,1 plate (300g),650,30,55,32,3.5
biryani veg,rice,1 plate (300g),450,10,65,16,4.0
bisi bele bath,rice,1 plate (200g),330,10,52,8.5,4.5
brown rice,rice,1 katori (150g),215,5.0,45,1.5,2.5
curd rice,rice,1 katori (200g),230,7.0,40,4.0,1.0
curd rice south,rice,1 plate (250g),280,9.0,46,5.5,1.5
fried rice chicken,rice,1 plate (250g),480,22,58,16,3.0
fried rice veg,rice,1 plate (250g),400,9.0,60,12,3.5
ghee rice,rice,1 katori (150g),290,4.5,44,12,0.8
jeera rice,rice,1 katori (150g),245,4.5,44,6.0,0.8
khichdi,rice,1 katori (200g),240,9.0,42,3.5,4.0
lemon rice,rice,1 katori (150g),240,5.0,44,5.5,1.5
pulao matar,rice,1 katori (150g),270,7.0,44,7.5,3.5
pulao veg,rice,1 katori (150g),280,6.0,45,8.0,3.0
quinoa cooked,rice,1 katori (150g),180,6.5,32,3.0,4.0
rasam rice,rice,1 plate (250g),270,6.0,50,3.0,2.0
rice brown,rice,1 katori (150g),215,5.0,45,1.5,2.5
rice plain,rice,1 katori (150g),200,4.0,44,0.5,0.5
sambar rice,rice,1 plate (250g),310,9.0,54,5.0,4.0
aloo bhindi,sabzi,1 katori (150g),150,3.5,20,6.5,5.0
aloo gobi,sabzi,1 katori (150g),160,4.0,20,7.5,4.5
aloo jeera,sabzi,1 katori (150g),170,3.0,24,7.5,3.0
aloo matar,sabzi,1 katori (150g),180,5.0,25,7.0,4.5
alur dom bengali,sabzi,1 katori (150g),250,4.5,30,13,3.5
baingan bharta,sabzi,1 katori (150g),155,3.0,16,9.0,5.0
bhindi masala,sabzi,1 katori (150g),140,3.0,16,8.0,5.5
chilli paneer,sabzi,1 plate (200g),420,20,22,28,3.0
coconut chutney,sabzi,2 tbsp (30g),80,1.5,3.0,7.0,1.5
dum aloo,sabzi,1 katori (150g),230,4.0,28,12,3.5
gobi manchurian,sabzi,1 plate (200g),340,7.0,36,18,5.0
kadhai paneer,sabzi,1 katori (150g),320,15,14,23,3.5
kadhi pakora,sabzi,1 katori (150g),220,7.0,20,12,2.0
kadhi punjabi,sabzi,1 katori (200g),200,7.0,20,10,1.5
malai kofta,sabzi,1 katori (150g),380,10,22,28,3.0
matar paneer,sabzi,1 katori (150g),290,14,18,18,4.5
mix veg,sabzi,1 katori (150g),150,4.0,18,7.0,5.0
palak paneer,sabzi,1 katori (150g),280,14,12,20,4.0
paneer bhurji,sabzi,1 katori (150g),290,16,8.0,22,2.0
paneer butter,sabzi,1 katori (150g),380,16,12,30,2.5
paneer grilled,sabzi,100g,280,19,3.0,21,0
paneer tikka,sabzi,1 plate (150g),320,20,8.0,24,2.0
sarson ka saag,sabzi,1 katori (150g),180,6.0,16,10,6.0
shahi paneer,sabzi,1 katori (150g),360,15,16,27,3.0
tofu,sabzi,100g,145,17,3.0,8.0,2.0
tomato chutney,sabzi,2 tbsp (30g),45,1.0,6.0,2.0,1.0
undhiyu,sabzi,1 katori (150g),240,7.0,28,12,6.0
salad caesar,salad,1 plate (200g),290,10,12,22,3.0
salad chicken,salad,1 plate (250g),320,28,12,18,4.0
salad fruit,salad,1 plate (200g),150,2.0,36,0.5,5.5
salad green,salad,1 plate (150g),60,3.0,10,0.8,4.0
salad sprouts,salad,1 plate (150g),140,9.0,22,1.5,6.0
aloo chaat,snack,1 plate (200g),260,5.0,40,9.0,4.5
aloo tikki,snack,2 pieces (100g),230,4.0,28,12,3.0
aloo tikki chaat,snack,1 plate (200g),350,7.0,46,15,4.0
bhel puri,snack,1 plate (150g),290,6.0,44,10,4.0
biscuits hide seek,snack,4 pieces (40g),200,2.5,26,9.5,0.5
biscuits marie,snack,5 pieces (30g),135,2.5,22,4.0,0.5
biscuits oreo,snack,3 pieces (33g),160,1.5,24,7.0,1.0
biscuits parle g,snack,5 pieces (30g),140,2.0,22,4.5,0.5
burger chicken,snack,1 piece,440,22,44,20,2.5
burger veg,snack,1 piece,360,10,48,14,3.0
chaat papri,snack,1 plate (150g),310,7.0,44,12,4.0
chilli chicken,snack,1 plate (200g),450,28,24,25,2.0
chilli garlic noodles,snack,1 plate (250g),420,10,58,15,4.0
chips potato,snack,1 packet (52g),280,3.0,30,17,2.5
chole bhature,snack,1 plate,650,16,75,30,10
chowmein,snack,1 plate (250g),410,10,58,14,4.0
club sandwich,snack,1 piece (200g),450,20,48,20,3.5
dabeli,snack,1 piece (100g),260,6.0,35,11,3.0
dahi puri,snack,6 pieces (120g),240,6.0,32,10,2.5
dal vada,snack,2 pieces (80g),220,8.0,22,11,3.0
dhokla,snack,100g,160,6.0,28,3.0,2.0
dimsum veg,snack,6 pieces (180g),270,7.0,48,5.0,3.0
fafda,snack,50g,220,6.0,22,12,2.0
frankie,snack,1 piece (150g),380,10,40,20,2.5
french fries,snack,1 medium (120g),365,4.0,48,17,4.0
garlic bread,snack,2 pieces (80g),240,6.0,30,11,1.5
gathiya,snack,50g,260,6.5,24,16,1.5
hakka noodles chicken,snack,1 plate (250g),460,20,54,16,3.5
hakka noodles veg,snack,1 plate (250g),380,9.0,56,12,4.0
haldiram bhujia,snack,30g,170,5.0,14,11,1.5
handvo,snack,100g,220,6.0,32,8.0,3.0
honey chilli potato,snack,1 plate (200g),410,5.0,56,18,4.0
hot dog,snack,1 piece (130g),330,11,28,20,1.5
kachori,snack,1 piece (60g),220,4.0,24,12,1.5
kathi roll chicken,snack,1 piece (150g),430,22,38,22,2.5
kathi roll egg,snack,1 piece (150g),390,16,38,20,2.5
kathi roll paneer,snack,1 piece (150g),410,16,38,22,3.0
kathi roll veg,snack,1 piece (150g),340,8.0,40,16,3.0
khakra,snack,2 pieces (30g),110,3.5,20,2.0,2.5
khaman,snack,100g,155,7.0,24,4.0,2.5
khandvi,snack,100g,150,5.0,20,5.5,1.5
kothimbir vadi,snack,100g,210,6.0,26,9.0,3.5
kurkure,snack,1 packet (45g),240,3.5,26,13,1.5
maggi,snack,1 pack (70g dry),310,7.0,42,12,2.0
manchurian chicken,snack,1 plate (200g),420,24,30,22,2.5
manchurian veg,snack,1 plate (200g),340,8.0,40,16,4.0
misal,snack,1 plate (200g),340,13,42,13,8.0
misal pav,snack,1 plate (250g),420,14,54,16,9.0
momos chicken,snack,6 pieces (180g),340,18,46,8.0,2.5
momos fried,snack,6 pieces (180g),420,10,50,20,3.0
momos veg,snack,6 pieces (180g),280,8.0,50,5.0,3.0
muthia,snack,100g,190,5.0,30,6.0,3.5
nachos,snack,1 plate (100g),490,6.0,60,24,4.0
namkeen mix,snack,30g,160,5.0,16,9.0,1.5
pakora,snack,1 plate (100g),280,6.0,22,18,2.5
paneer pakora,snack,1 plate (100g),340,14,16,24,1.5
pani puri,snack,6 pieces (90g),170,4.0,28,5.0,2.0
pasta alfredo,snack,1 plate (250g),520,18,54,26,3.0
pasta red sauce,snack,1 plate (200g),380,11,58,11,4.0
pasta white sauce,snack,1 plate (200g),470,14,52,22,3.0
pav bhaji,snack,1 plate (200g),450,9.0,56,20,6.0
pizza chicken,snack,1 slice (120g),290,14,30,12,2.0
pizza margherita,snack,1 slice (100g),240,10,30,8.0,2.0
pizza veg,snack,1 slice (110g),260,11,30,10,2.5
popcorn butter,snack,1 bowl (30g),170,3.0,20,9.0,3.5
popcorn plain,snack,1 bowl (30g),110,3.5,22,1.5,4.0
ragda pattice,snack,1 plate (250g),370,10,54,12,6.0
rusk,snack,2 pieces (30g),120,3.0,22,2.5,1.0
sabudana vada,snack,2 pieces (80g),230,3.5,28,12,1.5
samosa,snack,1 piece (60g),200,4.0,22,11,1.5
sandwich grilled,snack,1 piece (150g),340,11,38,16,4.0
sandwich veg,snack,1 piece (120g),240,7.0,36,8.0,4.0
schezwan noodles,snack,1 plate (250g),430,10,58,16,4.5
sev puri,snack,6 pieces (120g),270,6.0,34,12,2.5
soup chicken,snack,1 bowl (250ml),140,10,12,5.0,1.5
soup hot and sour,snack,1 bowl (250ml),90,4.0,14,2.0,2.0
soup sweet corn,snack,1 bowl (250ml),130,4.0,22,2.5,2.0
soup tomato,snack,1 bowl (250ml),110,3.0,18,3.5,2.0
soup veg clear,snack,1 bowl (250ml),60,3.0,10,1.0,2.5
spring roll veg,snack,2 pieces (100g),240,4.0,28,12,3.0
sprouts chana,snack,1 katori (100g),120,8.0,20,1.5,5.0
sprouts moong,snack,1 katori (100g),100,7.0,18,0.7,4.5
subway chicken,snack,6 inch,340,22,42,8.0,4.5
subway veg,snack,6 inch,280,9.0,44,7.0,5.0
vada pav,snack,1 piece (120g),300,7.0,38,13,3.0
barfi,sweet,1 piece (40g),170,3.5,20,9.0,0.3
brownie,sweet,1 piece (80g),320,4.0,44,15,1.5
chocolate,sweet,1 bar (40g),220,3.0,24,13,1.5
cookie chocolate,sweet,1 piece (30g),150,2.0,20,7.0,1.0
donut glazed,sweet,1 piece (60g),240,3.0,34,11,0.5
doughnut,sweet,1 piece (60g),250,4.0,30,12,1.0
falooda,sweet,1 glass (350g),330,8.0,52,10,1.5
ghevar,sweet,1 piece (60g),270,3.5,34,13,0.5
gulab jamun,sweet,2 pieces (60g),280,4.0,40,12,0.5
halwa gajar,sweet,1 katori (150g),320,5.0,40,16,3.0
halwa suji,sweet,1 katori (150g),340,5.0,48,14,1.5
ice cream vanilla,sweet,1 scoop (75g),150,3.0,18,8.0,0
imarti,sweet,2 pieces (60g),250,3.0,36,11,0.5
jalebi,sweet,100g,380,3.0,60,15,0.3
kaju katli,sweet,2 pieces (30g),150,3.5,16,8.0,0.5
kheer,sweet,1 katori (150g),220,6.0,32,8.0,0.5
kulfi,sweet,1 piece (80g),190,4.0,20,10,0
ladoo besan,sweet,1 piece (40g),180,3.5,22,9.0,1.0
ladoo motichoor,sweet,1 piece (40g),190,3.0,26,9.0,0.5
malpua,sweet,1 piece (50g),220,3.5,30,10,0.5
mishti doi,sweet,1 katori (100g),180,4.0,28,5.5,0
modak,sweet,2 pieces (60g),220,3.0,32,9.0,1.5
muffin,sweet,1 piece (100g),370,5.0,52,16,2.0
pastry,sweet,1 piece (100g),370,4.0,44,20,1.0
petha,sweet,100g,240,0.5,60,0.2,0.8
phirni,sweet,1 katori (100g),200,5.0,30,7.0,0.5
puran poli,sweet,1 piece (80g),280,6.0,44,9.0,3.0
rasgulla,sweet,2 pieces (80g),210,6.0,38,4.0,0
rasmalai,sweet,2 pieces (100g),280,8.0,32,13,0
rosogolla,sweet,2 pieces (80g),210,6.0,38,4.0,0
sandesh,sweet,1 piece (40g),120,4.0,18,4.0,0
shrikhand,sweet,1 katori (100g),270,6.0,36,11,0
soan papdi,sweet,100g,500,6.0,64,24,1.5
carrot,vegetable,1 medium (60g),25,0.6,6.0,0.1,1.8
cucumber,vegetable,1 medium (200g),30,1.4,7.0,0.2,1.0
onion,vegetable,1 medium (110g),45,1.2,10,0.1,1.8
potato boiled,vegetable,1 medium (150g),130,3.0,30,0.2,3.0
sweet potato boiled,vegetable,1 medium (150g),130,2.5,30,0.2,4.5
tomato,vegetable,1 medium (120g),22,1.1,5.0,0.2,1.5
